date,day,loto7_1,loto7_2,loto7_3,loto7_4,loto7_5,loto7_6,loto7_7,bonus1,bonus2
2013-12-20,Friday,5,10,11,18,20,26,36,35,13
2013-12-27,Friday,1,6,9,20,23,31,34,35,10
2014-01-03,Friday,6,7,9,16,19,29,32,37,34
2014-01-10,Friday,1,6,9,20,21,26,31,34,37
2014-01-17,Friday,2,7,12,13,25,34,37,22,21
2014-01-24,Friday,2,4,9,14,24,27,35,18,1
2014-01-31,Friday,3,6,12,15,23,32,35,22,30
2014-02-07,Friday,9,10,12,16,19,30,34,1,24
2014-02-14,Friday,3,7,10,14,15,31,33,5,20
2014-02-21,Friday,1,10,11,14,16,31,32,5,17
2014-02-28,Friday,5,8,10,13,18,27,32,21,15
2014-03-07,Friday,3,8,9,13,22,34,37,12,23
2014-03-14,Friday,2,3,6,13,17,27,33,20,15
2014-03-21,Friday,3,7,8,13,24,31,33,20,1
2014-03-28,Friday,4,5,11,13,22,28,31,9,20
2014-04-04,Friday,2,6,10,13,14,27,28,34,8
2014-04-11,Friday,1,6,12,14,20,27,28,26,10
2014-04-18,Friday,5,7,10,14,25,29,36,23,27
2014-04-25,Friday,9,10,12,16,21,33,36,14,30
2014-05-02,Friday,5,6,11,17,18,26,36,9,31
2014-05-09,Friday,3,4,8,16,22,26,27,31,30
2014-05-16,Friday,5,6,11,19,25,27,32,21,37
2014-05-23,Friday,1,6,8,16,23,29,30,3,15
2014-05-30,Friday,1,5,11,16,21,31,36,32,18
2014-06-06,Friday,5,9,12,20,25,28,29,13,35
2014-06-13,Friday,2,5,6,14,24,26,32,20,30
2014-06-20,Friday,4,7,11,13,23,32,36,37,3
2014-06-27,Friday,1,5,6,14,20,27,32,4,33
2014-07-04,Friday,5,10,11,15,19,26,28,20,27
2014-07-11,Friday,2,3,8,15,22,34,37,11,28
2014-07-18,Friday,5,6,7,15,19,29,35,25,2
2014-07-25,Friday,1,4,10,13,15,34,36,19,27
2014-08-01,Friday,3,6,12,13,19,27,28,32,5
2014-08-08,Friday,6,11,12,13,21,33,34,35,10
2014-08-15,Friday,1,8,12,19,24,27,28,18,29
2014-08-22,Friday,2,6,11,13,16,27,37,1,7
2014-08-29,Friday,7,11,12,13,19,26,28,25,33
2014-09-05,Friday,7,8,9,14,25,28,37,21,16
2014-09-12,Friday,3,8,9,21,25,30,32,6,35
2014-09-19,Friday,1,4,9,13,25,27,36,30,26
2014-09-26,Friday,2,8,12,22,25,35,37,15,17
2014-10-03,Friday,5,7,9,13,21,26,30,16,35
2014-10-10,Friday,4,5,12,16,23,29,36,9,37
2014-10-17,Friday,2,6,8,17,24,26,34,10,18
2014-10-24,Friday,5,6,11,22,24,35,36,3,33
2014-10-31,Friday,3,7,10,15,22,27,30,18,2
2014-11-07,Friday,4,7,9,13,16,26,34,24,17
2014-11-14,Friday,4,5,11,16,18,27,33,2,20
2014-11-21,Friday,3,10,12,17,25,30,33,9,34
2014-11-28,Friday,3,4,7,23,25,28,37,26,19
2014-12-05,Friday,4,7,9,18,22,34,37,24,33
2014-12-12,Friday,7,10,11,18,19,26,31,12,23
2014-12-19,Friday,1,2,7,13,16,34,35,17,27
2014-12-26,Friday,2,6,12,15,21,33,37,5,31
2015-01-02,Friday,8,9,12,14,24,27,28,21,4
2015-01-09,Friday,1,2,9,18,22,35,37,29,12
2015-01-16,Friday,8,10,12,21,25,32,36,11,5
2015-01-23,Friday,6,9,10,14,20,29,31,34,23
2015-01-30,Friday,2,5,8,21,24,30,37,31,34
2015-02-06,Friday,4,6,11,14,23,29,33,35,31
2015-02-13,Friday,2,5,7,14,22,28,37,4,6
2015-02-20,Friday,1,3,12,15,23,33,37,14,16
2015-02-27,Friday,1,8,10,13,19,26,32,22,33
2015-03-06,Friday,5,6,9,13,24,33,35,17,10
2015-03-13,Friday,2,8,11,24,25,31,32,15,12
2015-03-20,Friday,1,3,12,16,21,30,36,31,6
2015-03-27,Friday,1,4,10,17,23,26,27,11,7
2015-04-03,Friday,2,7,8,14,20,31,37,9,11
2015-04-10,Friday,5,6,10,15,18,32,35,36,16
2015-04-17,Friday,5,8,9,13,25,28,33,14,23
2015-04-24,Friday,3,7,8,13,25,30,35,15,29
2015-05-01,Friday,1,5,7,13,18,28,37,12,34
2015-05-08,Friday,5,6,7,20,23,26,35,34,30
2015-05-15,Friday,4,8,12,13,20,30,36,33,23
2015-05-22,Friday,3,7,11,13,15,33,36,14,12
2015-05-29,Friday,1,5,11,16,25,27,28,14,33
2015-06-05,Friday,3,4,5,18,23,36,37,19,10
2015-06-12,Friday,2,8,12,18,21,29,35,28,9
2015-06-19,Friday,5,6,12,17,20,29,31,18,21
2015-06-26,Friday,1,3,7,13,24,31,37,19,23
2015-07-03,Friday,1,11,12,19,24,30,34,9,33
2015-07-10,Friday,2,6,10,13,25,28,29,21,5
2015-07-17,Friday,1,4,12,17,19,28,35,14,13
2015-07-24,Friday,4,5,7,14,18,30,37,11,36
2015-07-31,Friday,5,7,11,18,22,30,31,27,2
2015-08-07,Friday,6,7,10,17,19,31,35,1,5
2015-08-14,Friday,2,6,12,18,24,31,35,20,15
2015-08-21,Friday,5,10,11,16,18,26,28,21,25
2015-08-28,Friday,1,2,8,13,25,26,34,31,24
2015-09-04,Friday,5,8,9,20,24,31,34,12,1
2015-09-11,Friday,1,3,7,15,22,26,36,12,17
2015-09-18,Friday,4,8,11,14,25,27,28,31,26
2015-09-25,Friday,5,9,11,15,22,28,34,19,23
2015-10-02,Friday,6,10,11,22,24,32,36,20,23
2015-10-09,Friday,4,6,10,22,23,27,34,25,7
2015-10-16,Friday,1,3,9,13,21,33,37,26,30
2015-10-23,Friday,2,3,8,17,24,28,36,23,31
2015-10-30,Friday,1,7,10,17,21,31,32,25,19
2015-11-06,Friday,3,4,10,23,24,27,36,31,16
2015-11-13,Friday,1,3,8,19,23,30,34,36,17
2015-11-20,Friday,1,7,11,15,20,28,31,9,36
2015-11-27,Friday,3,5,9,13,22,26,29,23,10
2015-12-04,Friday,4,7,11,16,19,26,28,13,8
2015-12-11,Friday,1,5,12,15,17,28,31,32,10
2015-12-18,Friday,2,4,5,16,19,33,36,9,1
2015-12-25,Friday,1,2,8,18,23,29,34,35,5
2016-01-01,Friday,9,11,12,19,25,27,31,15,13
2016-01-08,Friday,3,7,11,18,25,29,36,4,1
2016-01-15,Friday,1,2,10,18,24,31,36,6,23
2016-01-22,Friday,1,3,9,16,22,27,33,23,13
2016-01-29,Friday,3,5,6,14,16,31,33,12,1
2016-02-05,Friday,5,8,9,20,23,30,36,25,17
2016-02-12,Friday,5,11,12,22,25,26,34,4,35
2016-02-19,Friday,6,7,10,15,21,26,32,5,29
2016-02-26,Friday,2,10,11,16,24,27,35,37,12
2016-03-04,Friday,3,5,11,17,18,31,32,16,22
2016-03-11,Friday,1,3,6,20,23,34,35,17,10
2016-03-18,Friday,1,3,10,15,20,36,37,19,14
2016-03-25,Friday,1,3,11,18,21,29,34,6,30
2016-04-01,Friday,3,9,11,22,24,32,33,29,1
2016-04-08,Friday,2,6,8,17,23,34,37,25,4
2016-04-15,Friday,2,6,7,20,22,29,32,17,33
2016-04-22,Friday,2,6,10,13,15,27,29,35,30
2016-04-29,Friday,1,3,7,14,22,29,37,32,9
2016-05-06,Friday,3,5,12,24,25,34,36,9,8
2016-05-13,Friday,1,6,11,24,25,28,34,30,27
2016-05-20,Friday,7,8,9,14,20,26,35,37,32
2016-05-27,Friday,1,8,10,13,15,30,36,9,3
2016-06-03,Friday,2,4,6,16,25,28,34,21,15
2016-06-10,Friday,2,6,7,14,17,29,31,16,12
2016-06-17,Friday,1,2,5,18,25,30,35,36,33
2016-06-24,Friday,2,3,11,14,20,29,31,30,33
2016-07-01,Friday,1,4,5,15,21,27,29,2,6
2016-07-08,Friday,4,6,11,15,21,32,37,33,31
2016-07-15,Friday,2,4,6,15,23,27,30,8,28
2016-07-22,Friday,2,8,10,13,20,29,36,7,27
2016-07-29,Friday,1,2,11,15,22,26,32,31,36
2016-08-05,Friday,1,8,10,19,24,27,35,25,2
2016-08-12,Friday,1,3,8,19,25,36,37,26,24
2016-08-19,Friday,1,6,11,13,22,26,35,5,31
2016-08-26,Friday,4,5,10,16,18,27,30,3,6
2016-09-02,Friday,4,5,8,19,22,29,33,12,13
2016-09-09,Friday,3,6,10,15,20,27,36,22,17
2016-09-16,Friday,1,4,11,18,22,26,34,25,9
2016-09-23,Friday,3,5,7,14,17,30,34,26,11
2016-09-30,Friday,2,5,9,14,15,34,37,1,12
2016-10-07,Friday,2,6,9,13,19,30,32,33,21
2016-10-14,Friday,4,10,11,18,24,31,36,14,2
2016-10-21,Friday,7,11,12,17,22,28,30,2,34
2016-10-28,Friday,1,5,7,16,24,28,35,29,13
2016-11-04,Friday,2,3,11,13,23,27,33,18,12
2016-11-11,Friday,1,4,12,20,23,31,33,24,32
2016-11-18,Friday,4,6,11,16,18,27,33,12,28
2016-11-25,Friday,3,4,8,17,21,26,30,6,24
2016-12-02,Friday,3,4,5,21,24,28,37,18,23
2016-12-09,Friday,1,3,4,16,18,26,30,34,6
2016-12-16,Friday,2,5,6,17,21,26,32,16,23
2016-12-23,Friday,2,4,12,21,25,27,37,8,24
2016-12-30,Friday,2,10,12,14,24,26,27,8,35
2017-01-06,Friday,4,6,8,22,25,30,33,7,21
2017-01-13,Friday,1,7,9,17,22,32,35,36,11
2017-01-20,Friday,5,7,8,15,24,28,30,14,18
2017-01-27,Friday,3,5,12,13,24,27,31,21,4
2017-02-03,Friday,3,4,10,17,18,30,37,24,12
2017-02-10,Friday,1,4,8,21,22,31,33,20,6
2017-02-17,Friday,2,4,12,19,24,32,36,11,22
2017-02-24,Friday,2,4,10,16,25,30,32,1,11
2017-03-03,Friday,5,7,10,15,20,29,36,25,26
2017-03-10,Friday,2,7,10,13,23,35,36,34,5
2017-03-17,Friday,8,10,12,18,22,33,34,30,17
2017-03-24,Friday,5,8,12,16,24,28,30,11,15
2017-03-31,Friday,2,5,9,13,21,30,37,7,20
2017-04-07,Friday,8,10,11,19,24,26,29,2,13
2017-04-14,Friday,8,9,10,15,19,35,36,14,30
2017-04-21,Friday,8,10,11,21,23,28,29,36,18
2017-04-28,Friday,3,6,9,18,22,29,34,20,5
2017-05-05,Friday,1,3,9,17,20,28,33,21,31
2017-05-12,Friday,1,5,11,14,17,28,33,7,6
2017-05-19,Friday,2,10,11,19,20,26,33,29,37
2017-05-26,Friday,4,9,12,13,21,26,28,11,32
2017-06-02,Friday,3,7,8,19,25,30,32,17,36
2017-06-09,Friday,3,4,10,16,17,26,35,2,22
2017-06-16,Friday,8,9,12,15,17,28,36,7,21
2017-06-23,Friday,5,9,11,13,19,33,36,23,10
2017-06-30,Friday,2,11,12,13,15,30,37,18,32
2017-07-07,Friday,8,10,12,20,25,29,35,31,30
2017-07-14,Friday,8,10,11,23,25,31,37,19,33
2017-07-21,Friday,3,11,12,18,20,28,29,5,7
2017-07-28,Friday,7,8,9,14,18,29,30,25,21
2017-08-04,Friday,1,5,7,14,20,29,34,12,36
2017-08-11,Friday,2,5,11,18,21,32,37,15,8
2017-08-18,Friday,6,10,11,18,21,33,34,35,25
2017-08-25,Friday,3,5,6,17,22,30,31,14,8
2017-09-01,Friday,1,6,7,14,22,28,32,27,37
2017-09-08,Friday,9,10,12,14,23,33,37,24,8
2017-09-15,Friday,1,2,4,13,23,26,35,8,15
2017-09-22,Friday,2,4,12,16,20,28,35,34,26
2017-09-29,Friday,4,9,12,19,24,32,34,8,16
2017-10-06,Friday,9,10,11,14,18,32,36,30,7
2017-10-13,Friday,6,7,12,19,25,28,32,22,10
2017-10-20,Friday,3,5,7,14,19,29,31,9,21
2017-10-27,Friday,3,8,12,16,18,26,27,19,35
2017-11-03,Friday,7,8,9,14,20,30,37,28,15
2017-11-10,Friday,4,7,11,13,19,28,29,10,5
2017-11-17,Friday,5,9,11,13,24,28,31,10,26
2017-11-24,Friday,7,9,12,15,24,30,36,13,26
2017-12-01,Friday,2,6,7,19,20,31,32,14,25
2017-12-08,Friday,1,2,8,14,25,30,35,10,5
2017-12-15,Friday,1,3,9,21,22,27,30,14,17
2017-12-22,Friday,1,3,6,15,17,27,31,23,7
2017-12-29,Friday,8,9,10,24,25,26,33,14,32
2018-01-05,Friday,5,6,8,16,17,36,37,22,2
2018-01-12,Friday,1,7,11,20,23,32,36,9,10
2018-01-19,Friday,1,9,10,16,24,32,37,36,26
2018-01-26,Friday,3,10,11,19,20,28,31,26,18
2018-02-02,Friday,7,8,11,14,22,36,37,16,5
2018-02-09,Friday,5,6,9,17,20,31,37,3,11
2018-02-16,Friday,2,5,8,14,20,32,33,12,11
2018-02-23,Friday,4,6,12,14,22,29,32,23,35
2018-03-02,Friday,6,9,11,17,21,30,32,34,3
2018-03-09,Friday,3,6,12,15,23,34,36,18,27
2018-03-16,Friday,6,11,12,18,23,29,32,7,17
2018-03-23,Friday,4,5,11,16,17,30,32,9,8
2018-03-30,Friday,2,7,8,19,24,29,33,1,21
2018-04-06,Friday,3,10,12,23,25,34,35,28,26
2018-04-13,Friday,3,7,9,13,19,30,37,4,21
2018-04-20,Friday,7,9,12,19,22,31,34,10,25
2018-04-27,Friday,4,7,8,13,21,33,37,16,32
2018-05-04,Friday,3,10,11,19,20,26,36,9,32
2018-05-11,Friday,8,10,11,19,20,29,31,30,17
2018-05-18,Friday,3,5,6,15,25,27,35,10,24
2018-05-25,Friday,2,8,9,23,24,31,35,28,20
2018-06-01,Friday,5,10,11,19,21,30,34,36,7
2018-06-08,Friday,6,7,10,15,19,34,36,13,26
2018-06-15,Friday,5,7,12,14,20,32,34,8,31
2018-06-22,Friday,4,6,12,21,23,34,37,16,15
2018-06-29,Friday,3,4,9,19,25,28,32,22,15
2018-07-06,Friday,2,6,8,16,19,35,36,26,25
2018-07-13,Friday,1,5,6,22,24,26,31,16,9
2018-07-20,Friday,3,8,11,20,21,34,37,16,30
2018-07-27,Friday,3,4,12,15,23,35,37,33,6
2018-08-03,Friday,3,4,5,18,21,29,33,12,37
2018-08-10,Friday,2,6,7,15,25,36,37,29,16
2018-08-17,Friday,1,8,10,18,21,27,36,16,2
2018-08-24,Friday,3,7,10,13,19,27,34,11,25
2018-08-31,Friday,2,7,10,14,25,33,37,20,32
2018-09-07,Friday,4,7,11,22,25,28,29,18,12
2018-09-14,Friday,2,7,11,19,20,28,31,6,34
2018-09-21,Friday,2,3,6,17,23,27,31,37,14
2018-09-28,Friday,1,5,7,19,23,33,34,14,2
2018-10-05,Friday,3,5,12,16,22,29,32,31,6
2018-10-12,Friday,1,4,5,19,24,28,36,34,26
2018-10-19,Friday,4,5,7,22,25,36,37,19,26
2018-10-26,Friday,1,2,8,15,19,31,34,4,32
2018-11-02,Friday,4,6,9,13,15,26,36,30,24
2018-11-09,Friday,1,2,11,14,16,27,37,18,28
2018-11-16,Friday,3,9,10,22,23,26,28,32,29
2018-11-23,Friday,2,11,12,21,24,34,35,5,3
2018-11-30,Friday,1,2,11,20,25,35,37,8,4
2018-12-07,Friday,2,3,7,16,19,30,34,33,9
2018-12-14,Friday,1,10,12,18,25,29,34,4,21
2018-12-21,Friday,5,10,12,20,25,31,34,22,7
2018-12-28,Friday,1,3,5,13,16,27,29,9,22
2019-01-04,Friday,8,11,12,22,24,30,32,7,31
2019-01-11,Friday,1,6,12,13,18,27,32,2,29
2019-01-18,Friday,8,9,12,20,21,29,36,15,33
2019-01-25,Friday,2,5,11,21,22,29,31,9,14
2019-02-01,Friday,5,6,9,13,20,33,35,34,24
2019-02-08,Friday,2,4,10,16,17,31,37,14,30
2019-02-15,Friday,2,6,11,21,25,30,37,14,4
2019-02-22,Friday,1,3,11,19,23,31,37,24,30
2019-03-01,Friday,2,5,7,20,23,31,36,37,15
2019-03-08,Friday,3,9,11,16,20,31,37,1,10
2019-03-15,Friday,1,7,8,20,21,29,30,18,32
2019-03-22,Friday,2,10,11,16,19,30,32,9,23
2019-03-29,Friday,2,3,7,22,23,27,34,5,10
2019-04-05,Friday,1,4,10,15,18,27,30,12,9
2019-04-12,Friday,7,8,11,20,21,30,37,25,31
2019-04-19,Friday,1,2,4,18,24,30,31,14,12
2019-04-26,Friday,1,7,11,13,22,30,32,20,4
2019-05-03,Friday,10,11,12,19,21,28,35,6,1
2019-05-10,Friday,5,7,9,13,24,28,34,3,30
2019-05-17,Friday,1,2,6,21,25,35,37,15,27
2019-05-24,Friday,3,5,10,13,18,28,30,37,9
2019-05-31,Friday,6,8,11,13,25,32,36,37,7
2019-06-07,Friday,9,10,11,13,16,30,34,21,29
2019-06-14,Friday,5,7,10,17,24,27,33,9,11
2019-06-21,Friday,2,4,9,16,23,29,36,34,14
2019-06-28,Friday,1,5,6,16,20,32,33,17,34
2019-07-05,Friday,6,8,12,14,25,28,30,23,18
2019-07-12,Friday,3,6,7,13,24,29,35,11,30
2019-07-19,Friday,2,4,8,18,20,27,34,6,9
2019-07-26,Friday,1,9,10,15,23,29,37,12,5
2019-08-02,Friday,1,2,9,19,22,26,33,23,17
2019-08-09,Friday,4,6,8,16,17,32,37,1,20
2019-08-16,Friday,6,8,11,13,23,26,36,33,10
2019-08-23,Friday,7,9,11,18,23,34,36,35,15
2019-08-30,Friday,4,10,12,13,19,28,35,34,37
2019-09-06,Friday,5,7,9,18,24,26,37,3,32
2019-09-13,Friday,6,11,12,16,22,28,37,21,13
2019-09-20,Friday,3,8,11,16,21,29,32,7,1
2019-09-27,Friday,6,7,11,17,20,28,33,5,19
2019-10-04,Friday,3,5,11,14,17,28,31,22,23
2019-10-11,Friday,5,6,10,17,20,29,34,8,28
2019-10-18,Friday,8,11,12,18,25,30,36,9,3
2019-10-25,Friday,2,7,8,16,21,28,35,30,4
2019-11-01,Friday,2,5,11,13,20,26,37,14,10
2019-11-08,Friday,4,10,12,16,19,36,37,15,1
2019-11-15,Friday,1,7,10,20,21,29,31,16,32
2019-11-22,Friday,3,5,12,13,22,36,37,9,11
2019-11-29,Friday,3,5,9,17,19,28,33,14,35
2019-12-06,Friday,2,9,12,21,23,30,31,20,7
2019-12-13,Friday,3,10,11,14,17,27,36,37,18
2019-12-20,Friday,1,5,7,15,19,26,34,13,24
2019-12-27,Friday,4,8,11,22,24,29,30,2,7
2020-01-03,Friday,3,5,6,13,20,30,34,28,29
2020-01-10,Friday,4,6,11,17,24,35,36,2,30
2020-01-17,Friday,6,7,8,13,17,29,37,36,28
2020-01-24,Friday,1,9,10,20,25,30,37,19,15
2020-01-31,Friday,6,11,12,23,25,32,33,8,27
2020-02-07,Friday,1,8,11,17,21,26,35,24,36
2020-02-14,Friday,2,6,10,22,24,27,28,3,14
2020-02-21,Friday,2,8,9,18,25,30,37,16,28
2020-02-28,Friday,6,10,11,13,17,29,35,22,34
2020-03-06,Friday,3,8,11,16,24,28,32,26,19
2020-03-13,Friday,2,3,6,15,23,30,35,25,37
2020-03-20,Friday,1,3,12,17,21,27,36,20,37
2020-03-27,Friday,6,9,11,16,25,30,35,10,14
2020-04-03,Friday,4,9,12,19,21,29,30,36,8
2020-04-10,Friday,1,3,6,19,22,28,37,16,25
2020-04-17,Friday,3,5,11,19,23,34,37,6,21
2020-04-24,Friday,2,4,6,23,24,30,32,10,1
2020-05-01,Friday,4,9,11,13,21,35,36,31,24
2020-05-08,Friday,1,7,8,24,25,32,36,15,9
2020-05-15,Friday,4,10,12,13,25,28,32,24,23
2020-05-22,Friday,1,4,11,16,20,34,35,22,17
2020-05-29,Friday,4,9,10,15,25,27,30,28,3
2020-06-05,Friday,3,5,12,13,21,33,36,34,25
2020-06-12,Friday,3,8,10,14,18,30,37,28,26
2020-06-19,Friday,4,10,12,14,24,32,37,9,36
2020-06-26,Friday,6,7,10,18,20,26,32,33,25
2020-07-03,Friday,6,11,12,13,20,35,37,2,5
2020-07-10,Friday,1,5,9,23,25,26,34,17,31
2020-07-17,Friday,7,8,10,15,21,26,28,11,13
2020-07-24,Friday,1,4,12,16,17,29,30,32,15
2020-07-31,Friday,3,8,11,14,21,29,36,34,18
2020-08-07,Friday,2,8,11,16,22,29,33,4,21
2020-08-14,Friday,7,11,12,23,25,31,36,34,28
2020-08-21,Friday,1,6,10,17,22,26,28,35,31
2020-08-28,Friday,2,3,6,24,25,27,33,18,34
2020-09-04,Friday,1,7,8,13,15,29,35,33,3
2020-09-11,Friday,1,8,9,14,21,27,35,3,34
2020-09-18,Friday,2,7,9,13,14,29,37,20,12
2020-09-25,Friday,1,5,11,21,23,31,32,34,16
2020-10-02,Friday,1,5,11,13,18,36,37,9,31
2020-10-09,Friday,1,6,11,14,22,28,36,34,4
2020-10-16,Friday,2,5,10,16,24,30,33,36,22
2020-10-23,Friday,2,8,10,15,23,29,30,6,25
2020-10-30,Friday,6,9,12,17,25,27,35,34,33
2020-11-06,Friday,1,8,12,15,23,34,36,14,27
2020-11-13,Friday,1,9,10,14,23,30,37,12,22
2020-11-20,Friday,3,7,9,15,23,28,35,34,1
2020-11-27,Friday,3,8,9,16,22,28,34,31,32
