date,day,number
1995-07-06,Thursday,171
1995-07-07,Friday,471
1995-07-10,Monday,737
1995-07-11,Tuesday,247
1995-07-12,Wednesday,261
1995-07-13,Thursday,414
1995-07-14,Friday,901
1995-07-17,Monday,645
1995-07-18,Tuesday,436
1995-07-19,Wednesday,152
1995-07-20,Thursday,573
1995-07-21,Friday,544
1995-07-24,Monday,166
1995-07-25,Tuesday,130
1995-07-26,Wednesday,630
1995-07-27,Thursday,71
1995-07-28,Friday,140
1995-07-31,Monday,593
1995-08-01,Tuesday,79
1995-08-02,Wednesday,833
1995-08-03,Thursday,278
1995-08-04,Friday,971
1995-08-07,Monday,653
1995-08-08,Tuesday,38
1995-08-09,Wednesday,438
1995-08-10,Thursday,760
1995-08-11,Friday,477
1995-08-14,Monday,539
1995-08-15,Tuesday,234
1995-08-16,Wednesday,994
1995-08-17,Thursday,372
1995-08-18,Friday,769
1995-08-21,Monday,99
1995-08-22,Tuesday,243
1995-08-23,Wednesday,652
1995-08-24,Thursday,262
1995-08-25,Friday,267
1995-08-28,Monday,78
1995-08-29,Tuesday,923
1995-08-30,Wednesday,485
1995-08-31,Thursday,236
1995-09-01,Friday,136
1995-09-04,Monday,909
1995-09-05,Tuesday,207
1995-09-06,Wednesday,730
1995-09-07,Thursday,867
1995-09-08,Friday,699
1995-09-11,Monday,217
1995-09-12,Tuesday,297
1995-09-13,Wednesday,172
1995-09-14,Thursday,178
1995-09-15,Friday,737
1995-09-18,Monday,941
1995-09-19,Tuesday,883
1995-09-20,Wednesday,707
1995-09-21,Thursday,518
1995-09-22,Friday,547
1995-09-25,Monday,991
1995-09-26,Tuesday,112
1995-09-27,Wednesday,644
1995-09-28,Thursday,796
1995-09-29,Friday,220
1995-10-02,Monday,914
1995-10-03,Tuesday,554
1995-10-04,Wednesday,492
1995-10-05,Thursday,231
1995-10-06,Friday,417
1995-10-09,Monday,322
1995-10-10,Tuesday,338
1995-10-11,Wednesday,362
1995-10-12,Thursday,771
1995-10-13,Friday,286
1995-10-16,Monday,412
1995-10-17,Tuesday,180
1995-10-18,Wednesday,809
1995-10-19,Thursday,412
1995-10-20,Friday,813
1995-10-23,Monday,358
1995-10-24,Tuesday,538
1995-10-25,Wednesday,508
1995-10-26,Thursday,132
1995-10-27,Friday,116
1995-10-30,Monday,28
1995-10-31,Tuesday,363
1995-11-01,Wednesday,559
1995-11-02,Thursday,376
1995-11-03,Friday,837
1995-11-06,Monday,288
1995-11-07,Tuesday,525
1995-11-08,Wednesday,874
1995-11-09,Thursday,664
1995-11-10,Friday,28
1995-11-13,Monday,47
1995-11-14,Tuesday,235
1995-11-15,Wednesday,226
1995-11-16,Thursday,507
1995-11-17,Friday,644
1995-11-20,Monday,89
1995-11-21,Tuesday,594
1995-11-22,Wednesday,232
1995-11-23,Thursday,304
1995-11-24,Friday,910
1995-11-27,Monday,907
1995-11-28,Tuesday,628
1995-11-29,Wednesday,355
1995-11-30,Thursday,710
1995-12-01,Friday,666
1995-12-04,Monday,295
1995-12-05,Tuesday,494
1995-12-06,Wednesday,292
1995-12-07,Thursday,728
1995-12-08,Friday,131
1995-12-11,Monday,160
1995-12-12,Tuesday,772
1995-12-13,Wednesday,181
1995-12-14,Thursday,273
1995-12-15,Friday,742
1995-12-18,Monday,332
1995-12-19,Tuesday,334
1995-12-20,Wednesday,367
1995-12-21,Thursday,379
1995-12-22,Friday,319
1995-12-25,Monday,187
1995-12-26,Tuesday,213
1995-12-27,Wednesday,89
1995-12-28,Thursday,748
1995-12-29,Friday,497
1996-01-01,Monday,97
1996-01-02,Tuesday,277
1996-01-03,Wednesday,604
1996-01-04,Thursday,835
1996-01-05,Friday,849
1996-01-08,Monday,487
1996-01-09,Tuesday,390
1996-01-10,Wednesday,331
1996-01-11,Thursday,316
1996-01-12,Friday,7
1996-01-15,Monday,134
1996-01-16,Tuesday,304
1996-01-17,Wednesday,368
1996-01-18,Thursday,788
1996-01-19,Friday,451
1996-01-22,Monday,241
1996-01-23,Tuesday,284
1996-01-24,Wednesday,339
1996-01-25,Thursday,263
1996-01-26,Friday,912
1996-01-29,Monday,958
1996-01-30,Tuesday,725
1996-01-31,Wednesday,211
1996-02-01,Thursday,693
1996-02-02,Friday,771
1996-02-05,Monday,455
1996-02-06,Tuesday,187
1996-02-07,Wednesday,807
1996-02-08,Thursday,506
1996-02-09,Friday,537
1996-02-12,Monday,949
1996-02-13,Tuesday,817
1996-02-14,Wednesday,463
1996-02-15,Thursday,971
1996-02-16,Friday,457
1996-02-19,Monday,367
1996-02-20,Tuesday,137
1996-02-21,Wednesday,177
1996-02-22,Thursday,118
1996-02-23,Friday,991
1996-02-26,Monday,112
1996-02-27,Tuesday,883
1996-02-28,Wednesday,933
1996-02-29,Thursday,509
1996-03-01,Friday,111
1996-03-04,Monday,830
1996-03-05,Tuesday,79
1996-03-06,Wednesday,149
1996-03-07,Thursday,115
1996-03-08,Friday,786
1996-03-11,Monday,784
1996-03-12,Tuesday,435
1996-03-13,Wednesday,149
1996-03-14,Thursday,135
1996-03-15,Friday,831
1996-03-18,Monday,123
1996-03-19,Tuesday,624
1996-03-20,Wednesday,744
1996-03-21,Thursday,164
1996-03-22,Friday,160
1996-03-25,Monday,773
1996-03-26,Tuesday,281
1996-03-27,Wednesday,912
1996-03-28,Thursday,21
1996-03-29,Friday,144
1996-04-01,Monday,564
1996-04-02,Tuesday,48
1996-04-03,Wednesday,206
1996-04-04,Thursday,435
1996-04-05,Friday,249
1996-04-08,Monday,455
1996-04-09,Tuesday,62
1996-04-10,Wednesday,957
1996-04-11,Thursday,967
1996-04-12,Friday,429
1996-04-15,Monday,621
1996-04-16,Tuesday,748
1996-04-17,Wednesday,469
1996-04-18,Thursday,168
1996-04-19,Friday,309
1996-04-22,Monday,741
1996-04-23,Tuesday,290
1996-04-24,Wednesday,674
1996-04-25,Thursday,991
1996-04-26,Friday,856
1996-04-29,Monday,789
1996-04-30,Tuesday,772
1996-05-01,Wednesday,866
1996-05-02,Thursday,112
1996-05-03,Friday,871
1996-05-06,Monday,919
1996-05-07,Tuesday,701
1996-05-08,Wednesday,361
1996-05-09,Thursday,111
1996-05-10,Friday,267
1996-05-13,Monday,960
1996-05-14,Tuesday,510
1996-05-15,Wednesday,182
1996-05-16,Thursday,925
1996-05-17,Friday,584
1996-05-20,Monday,589
1996-05-21,Tuesday,476
1996-05-22,Wednesday,175
1996-05-23,Thursday,698
1996-05-24,Friday,868
1996-05-27,Monday,303
1996-05-28,Tuesday,599
1996-05-29,Wednesday,933
1996-05-30,Thursday,244
1996-05-31,Friday,828
1996-06-03,Monday,44
1996-06-04,Tuesday,822
1996-06-05,Wednesday,614
1996-06-06,Thursday,165
1996-06-07,Friday,110
1996-06-10,Monday,727
1996-06-11,Tuesday,724
1996-06-12,Wednesday,246
1996-06-13,Thursday,698
1996-06-14,Friday,851
1996-06-17,Monday,624
1996-06-18,Tuesday,718
1996-06-19,Wednesday,246
1996-06-20,Thursday,512
1996-06-21,Friday,512
1996-06-24,Monday,717
1996-06-25,Tuesday,456
1996-06-26,Wednesday,371
1996-06-27,Thursday,504
1996-06-28,Friday,428
1996-07-01,Monday,817
1996-07-02,Tuesday,175
1996-07-03,Wednesday,103
1996-07-04,Thursday,316
1996-07-05,Friday,147
1996-07-08,Monday,297
1996-07-09,Tuesday,781
1996-07-10,Wednesday,61
1996-07-11,Thursday,238
1996-07-12,Friday,698
1996-07-15,Monday,192
1996-07-16,Tuesday,722
1996-07-17,Wednesday,293
1996-07-18,Thursday,361
1996-07-19,Friday,22
1996-07-22,Monday,977
1996-07-23,Tuesday,284
1996-07-24,Wednesday,552
1996-07-25,Thursday,751
1996-07-26,Friday,315
1996-07-29,Monday,599
1996-07-30,Tuesday,530
1996-07-31,Wednesday,719
1996-08-01,Thursday,796
1996-08-02,Friday,908
1996-08-05,Monday,977
1996-08-06,Tuesday,234
1996-08-07,Wednesday,444
1996-08-08,Thursday,769
1996-08-09,Friday,181
1996-08-12,Monday,472
1996-08-13,Tuesday,226
1996-08-14,Wednesday,98
1996-08-15,Thursday,188
1996-08-16,Friday,951
1996-08-19,Monday,477
1996-08-20,Tuesday,654
1996-08-21,Wednesday,262
1996-08-22,Thursday,497
1996-08-23,Friday,380
1996-08-26,Monday,189
1996-08-27,Tuesday,541
1996-08-28,Wednesday,988
1996-08-29,Thursday,206
1996-08-30,Friday,205
1996-09-02,Monday,466
1996-09-03,Tuesday,337
1996-09-04,Wednesday,395
1996-09-05,Thursday,674
1996-09-06,Friday,527
1996-09-09,Monday,138
1996-09-10,Tuesday,857
1996-09-11,Wednesday,96
1996-09-12,Thursday,141
1996-09-13,Friday,600
1996-09-16,Monday,930
1996-09-17,Tuesday,916
1996-09-18,Wednesday,931
1996-09-19,Thursday,362
1996-09-20,Friday,933
1996-09-23,Monday,167
1996-09-24,Tuesday,896
1996-09-25,Wednesday,432
1996-09-26,Thursday,856
1996-09-27,Friday,178
1996-09-30,Monday,439
1996-10-01,Tuesday,460
1996-10-02,Wednesday,514
1996-10-03,Thursday,607
1996-10-04,Friday,905
1996-10-07,Monday,103
1996-10-08,Tuesday,541
1996-10-09,Wednesday,573
1996-10-10,Thursday,191
1996-10-11,Friday,600
1996-10-14,Monday,864
1996-10-15,Tuesday,339
1996-10-16,Wednesday,539
1996-10-17,Thursday,825
1996-10-18,Friday,248
1996-10-21,Monday,563
1996-10-22,Tuesday,675
1996-10-23,Wednesday,577
1996-10-24,Thursday,63
1996-10-25,Friday,647
1996-10-28,Monday,984
1996-10-29,Tuesday,603
1996-10-30,Wednesday,953
1996-10-31,Thursday,597
1996-11-01,Friday,767
1996-11-04,Monday,694
1996-11-05,Tuesday,586
1996-11-06,Wednesday,201
1996-11-07,Thursday,717
1996-11-08,Friday,123
1996-11-11,Monday,800
1996-11-12,Tuesday,128
1996-11-13,Wednesday,508
1996-11-14,Thursday,457
1996-11-15,Friday,377
1996-11-18,Monday,868
1996-11-19,Tuesday,212
1996-11-20,Wednesday,495
1996-11-21,Thursday,806
1996-11-22,Friday,355
1996-11-25,Monday,81
1996-11-26,Tuesday,944
1996-11-27,Wednesday,730
1996-11-28,Thursday,966
1996-11-29,Friday,127
1996-12-02,Monday,555
1996-12-03,Tuesday,113
1996-12-04,Wednesday,277
1996-12-05,Thursday,852
1996-12-06,Friday,210
1996-12-09,Monday,273
1996-12-10,Tuesday,760
1996-12-11,Wednesday,513
1996-12-12,Thursday,633
1996-12-13,Friday,26
1996-12-16,Monday,539
1996-12-17,Tuesday,268
1996-12-18,Wednesday,524
1996-12-19,Thursday,278
1996-12-20,Friday,303
1996-12-23,Monday,42
1996-12-24,Tuesday,302
1996-12-25,Wednesday,332
1996-12-26,Thursday,632
1996-12-27,Friday,941
1996-12-30,Monday,8
1996-12-31,Tuesday,138
1997-01-01,Wednesday,877
1997-01-02,Thursday,134
1997-01-03,Friday,682
1997-01-06,Monday,773
1997-01-07,Tuesday,727
1997-01-08,Wednesday,737
1997-01-09,Thursday,792
1997-01-10,Friday,547
1997-01-13,Monday,17
1997-01-14,Tuesday,665
1997-01-15,Wednesday,115
1997-01-16,Thursday,493
1997-01-17,Friday,580
1997-01-20,Monday,739
1997-01-21,Tuesday,198
1997-01-22,Wednesday,836
1997-01-23,Thursday,995
